ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2002;12;1,08;98,3714;63,0327;59,5637;86,7938;63,451;51,0218;191,1931;183,0518;201,8484;0,454;0,3466;0,2528;32,5588;32,581;35,6863;156,369;276,4993;151,94;33100,0;9975,0;6450,0
2003;1;0,9;111,4703;102,0313;88,1197;99,2413;89,838;81,1341;195,3377;177,4825;202,9383;0,508;0,5062;0,3998;31,0521;29,3792;32,2105;60,3282;205,4171;110,735;5525,0;3875,0;2250,0
2003;2;0,59;138,167;138,6714;108,6097;102,7038;105,303;84,9794;233,7687;217,1459;231,5122;0,4393;0,4849;0,3671;29,7679;30,8018;31,0593;53,9141;113,7282;32,4914;6000,0;9300,0;4325,0
2003;3;0,38;117,1388;112,8005;93,3428;95,715;97,3572;74,3419;212,3902;196,6425;220,3277;0,4507;0,4951;0,3374;31,3592;30,1102;33,1188;81,0356;159,7719;98,3868;5900,0;4275,0;2825,0
2003;4;-0,01;120,6033;131,2246;99,1833;101,732;93,8577;73,6747;195,1422;203,3912;215,5663;0,5213;0,4615;0,3418;29,1222;29,9036;31,9677;96,681;72,4793;31,5843;2025,0;12125,0;950,0
2003;5;-0,18;120,1291;104,8188;87,225;97,2725;64,4375;56,4184;155,785;174,7965;177,9595;0,6244;0,3686;0,317;27,2669;29,9801;31,0324;149,4644;25,256;55,3828;1225,0;11375,0;600,0
2003;6;-0,13;137,9318;94,882;92,4735;91,5181;45,1929;44,7737;146,5286;180,4293;170,2438;0,6246;0,2505;0,263;25,4407;29,7343;29,0674;71,2213;0,9755;22,9659;1800,0;19500,0;1125,0
2003;7;0,09;133,6005;79,0959;84,6741;82,4541;31,6434;37,0995;144,8804;200,829;179,9911;0,5691;0,1576;0,2061;24,2665;30,3781;28,9359;101,0986;0,3632;26,421;1125,0;37225,0;2225,0
2003;8;0,14;140,7141;48,0696;66,5686;90,9344;27,3217;33,2729;164,2507;221,4291;207,7608;0,5536;0,1234;0,1601;25,8959;33,8041;32,4844;85,4775;17,8776;22,6012;650,0;73400,0;4500,0
2003;9;0,23;150,7346;29,0331;55,2542;98,0161;25,4112;28,6766;199,5407;251,8735;238,6892;0,4912;0,1009;0,1201;28,5452;37,7312;36,3864;71,5576;16,3731;16,9166;9400,0;294400,0;42175,0
2003;10;0,23;138,5085;43,4241;48,7212;98,115;35,8283;29,2357;211,5434;243,7813;241,9899;0,4638;0,147;0,1208;31,4657;38,0583;39,3595;56,3634;39,5678;13,024;23025,0;157800,0;42150,0
