bioma,variavel,r2
Caatinga,EV,63.3
Caatinga,TST,54.2
Caatinga,PRE,31.5
Cerrado,EV,79.1
Cerrado,WAI,70.2
Cerrado,PRE,58.9
Mata Atlântica,TST,64.9
Mata Atlântica,EV,39.8
Mata Atlântica,WAI,39.8
