bioma,variaveis,r2_treino,r2_teste,dp_teste,gap_pp,alpha_medio
CA,EV + PRE + TST,95.1925287268245,94.16177763854134,1.4661394652107869,1.0307510882831679,0.09999999999999998
CA,EV + PRE + WAI,95.1332651119262,94.01315442872668,1.3983127867574383,1.1201106831995276,0.538
CA,PRE + TST + WAI,95.03165532731765,93.93948905131738,1.3904506745212262,1.0921662760002704,0.5680000000000001
CA,EV + PRE + BURN_log,94.74088679580782,93.65445309198365,1.4328349038128139,1.08643370382417,0.406
CA,EV + TST + WAI,94.28146965887063,92.96364653201579,1.7700293247400405,1.3178231268548473,0.718
CA,PRE + WAI + BURN_log,94.17778148276894,92.76086576821007,1.742171207375473,1.4169157145588684,0.45400000000000007
CA,EV + WAI + BURN_log,94.13782267032161,92.57427478428933,1.934373854040225,1.563547886032282,0.508
CA,EV + TST + BURN_log,93.7842813794157,92.53959030459652,1.790275647970321,1.2446910748191868,0.37000000000000005
CA,TST + WAI + BURN_log,91.61139716949656,89.7461355572649,2.9935045591037253,1.8652616122316488,0.184
CA,PRE + TST + BURN_log,81.3528450789794,77.9316942793912,4.813820061043712,3.4211507995882044,10.266666666666667
CE,EV + PRE + WAI,97.25238441759696,96.65913646315583,0.6417916933712781,0.5932479544411251,0.09999999999999998
CE,EV + PRE + TST,96.9904095891446,96.26883294144281,0.7923689955380842,0.7215766477017951,0.20800000000000002
CE,EV + PRE + BURN_log,96.93785453587012,95.75282453909333,1.3576284869773112,1.185029996776791,0.616
CE,EV + TST + WAI,96.03936750250524,95.17768798950829,0.957213456885916,0.8616795129969574,0.8019999999999999
CE,EV + WAI + BURN_log,95.98701049513225,94.23648631330224,1.863692916218278,1.7505241818300163,0.736
CE,PRE + TST + WAI,95.13058539253404,93.77401420760395,1.3764284550158363,1.3565711849300897,0.7
CE,EV + TST + BURN_log,94.81550016731026,93.279131854516,1.8271937144200776,1.5363683127942664,0.9879999999999999
CE,PRE + WAI + BURN_log,95.03445580556908,92.58599198564123,2.9842649347772165,2.448463819927852,1.06
CE,TST + WAI + BURN_log,91.25857089439897,88.8198739718353,4.196233568069686,2.4386969225636648,1.258
CE,PRE + TST + BURN_log,75.64104480597314,71.34291695223494,6.159174512802428,4.298127853738194,33.733333333333334
MA,EV + TST + WAI,78.83837645511908,73.64756877696311,5.905370668865091,5.190807678155963,0.7060000000000001
MA,EV + PRE + TST,76.1005446813684,70.95911700320154,6.187800763676147,5.141427678166863,4.48
MA,EV + PRE + WAI,74.39370276676452,69.02062285633977,7.601838380643506,5.3730799104247495,0.532
MA,EV + WAI + BURN_log,72.81899045907602,66.42823358482951,7.442947897793069,6.390756874246506,0.556
MA,EV + PRE + BURN_log,71.78490600391949,65.98442142774188,7.581366340677124,5.80048457617761,2.02
MA,EV + TST + BURN_log,66.03406430585916,58.403077465761456,7.414105219952244,7.630986840097705,5.08
MA,PRE + TST + WAI,63.67028093367352,55.69440109491461,9.50225701063794,7.975879838758907,1.24
MA,PRE + TST + BURN_log,55.96045284753184,47.67246803755615,10.50896483293005,8.28798480997569,6.0280000000000005
MA,PRE + WAI + BURN_log,57.194829550531495,47.63654167528046,9.463661099432569,9.558287875251033,1.0
MA,TST + WAI + BURN_log,52.175185447698425,41.391887809621075,11.294862240882768,10.78329763807735,1.648
