bioma,teste,n,r2_original,r2_nulo_media,r2_nulo_dp,r2_nulo_max,p_empirico
Mata Atlântica,Deslocamento circular (todos os 296),296,73.80953726921545,-2.978159568387072,6.113923954013918,52.435029773276206,0.003367003367003367
Mata Atlântica,Deslocamento circular múltiplo de 12 meses (calendário preservado),24,73.80953726921545,-3.23305410473116,5.030445138189593,7.2803958017268435,0.04
Mata Atlântica,Permutação de anos inteiros (calendário preservado),100,73.80953726921545,4.4277839193452495,2.7481646979440773,11.51759955417104,0.009900990099009901
Cerrado,Deslocamento circular (todos os 296),296,96.65913646315583,36.29530472885411,12.8640837329442,81.77156489534408,0.003367003367003367
Cerrado,Deslocamento circular múltiplo de 12 meses (calendário preservado),24,96.65913646315583,35.479223234201534,10.97692540322809,58.713972291613985,0.04
Cerrado,Permutação de anos inteiros (calendário preservado),100,96.65913646315583,62.37897579590364,1.4436726123983292,67.00090718649362,0.009900990099009901
Caatinga,Deslocamento circular (todos os 296),296,94.16177763854134,23.91479338491785,8.87902743009053,72.52272067964437,0.003367003367003367
Caatinga,Deslocamento circular múltiplo de 12 meses (calendário preservado),24,94.16177763854134,22.46439961116874,7.449941257417475,36.47192784127117,0.04
Caatinga,Permutação de anos inteiros (calendário preservado),100,94.16177763854134,40.20462298200071,2.32332869282552,44.73885738997313,0.009900990099009901
