bioma,primeira,segunda,dif_media_pp,ic95_inf,ic95_sup,prop_particoes_primeira_maior,p_wilcoxon
Mata Atlântica,EV + TST + WAI,EV + PRE + TST,2.688451773761579,2.098577934659196,3.2955794426077873,74.0,4.4425254056862187e-13
Cerrado,EV + PRE + WAI,EV + PRE + TST,0.39030352171302696,0.3338650145086246,0.44838768405182095,86.0,5.9142379247737615e-21
Caatinga,EV + PRE + TST,EV + PRE + WAI,0.14862320981467406,0.05289721666012012,0.24431965134308556,62.0,0.002347603713033846
