bioma,esquema,variavel,queda_media_pp,queda_dp_pp,razao_rmse_media,razao_rmse_dp,parcela_media_pct,parcela_dp_pct,r2_base
Mata Atlântica,GroupKFold,EV,418.60288099793314,99.59155126468472,4.163651813645551,0.7271746038990817,41.90840380385504,7.680149950049408,73.73055630495499
Mata Atlântica,GroupKFold,TST,89.50568777695682,26.07053092543593,2.103248933726995,0.25530483338874155,9.377428254553793,3.7991682646876943,73.73055630495499
Mata Atlântica,GroupKFold,WAI,209.91157868976103,61.05543811153352,3.0098708429154746,0.5137604992846239,21.075946007184665,4.994383223648261,73.73055630495499
Mata Atlântica,GroupKFold,SAZsin,107.99683600840447,6.114423680027647,2.2858775999721526,0.19078336013964697,11.02860521925014,1.1514689765776038,73.73055630495499
Mata Atlântica,GroupKFold,SAZcos,163.33424746910785,26.072270769602998,2.7368248119175114,0.44088921923816976,16.609616715156363,2.4796386904423993,73.73055630495499
Mata Atlântica,TimeSeriesSplit,EV,376.2958667004262,150.64831400644056,3.4715995117250436,0.5586869881277231,38.2170605580136,6.379788232086899,66.98267382236455
Mata Atlântica,TimeSeriesSplit,TST,84.01312457655177,18.869230793415245,1.8926720237895398,0.19998904157665706,10.000425305357478,4.547548619583975,66.98267382236455
Mata Atlântica,TimeSeriesSplit,WAI,201.10362812440846,95.5888269373445,2.6413239320663036,0.6343833396746159,19.891443976069855,5.058818943373657,66.98267382236455
Mata Atlântica,TimeSeriesSplit,SAZsin,148.09329005569535,75.6007942493652,2.3397280442673805,0.5190294448790768,15.162429748563511,3.7519970659697477,66.98267382236455
Mata Atlântica,TimeSeriesSplit,SAZcos,163.34200990194967,69.96317943706995,2.4323315981197466,0.47285778204465095,16.728640411995563,2.74862954306269,66.98267382236455
Cerrado,GroupKFold,EV,445.74956721088483,47.97650651558477,11.247142076218172,0.8476655638192783,85.32550075572787,1.4151713623552393,96.38269029263267
Cerrado,GroupKFold,PRE,21.5398484267926,5.427222007311106,2.6229538833639103,0.1516759127877379,4.091565320162473,0.8453159908723563,96.38269029263267
Cerrado,GroupKFold,WAI,13.447889118200532,4.5411210648115246,2.15042718885089,0.2618931492581033,2.5681597039769626,0.8710305228516321,96.38269029263267
Cerrado,GroupKFold,SAZsin,18.62190097096531,3.157126510485785,2.501919499554942,0.2473985110038662,3.581981453794377,0.5935805257977096,96.38269029263267
Cerrado,GroupKFold,SAZcos,23.01992934712523,2.716362422837793,2.7433538099270685,0.2648345253608961,4.43279276633831,0.5611457013535036,96.38269029263267
Cerrado,TimeSeriesSplit,EV,424.49091634805393,148.4760194844973,10.242228840053759,3.0317412194128175,77.71596903488415,15.103827888942336,95.72643790150627
Cerrado,TimeSeriesSplit,PRE,19.52650902247649,5.748589188007512,2.4096940646579625,0.45026937685592955,3.6843589487628394,0.42985518782965637,95.72643790150627
Cerrado,TimeSeriesSplit,WAI,26.614119609265913,24.701706060631665,2.4646697395838837,0.6120882524994706,7.548035425268855,10.23297689318912,95.72643790150627
Cerrado,TimeSeriesSplit,SAZsin,24.168998933978767,7.246686081658409,2.5876313934349886,0.24020127372960315,4.966481272751428,1.870154519740194,95.72643790150627
Cerrado,TimeSeriesSplit,SAZcos,28.113756235142272,11.56921095608929,2.7041266908515817,0.2706702144412421,6.085155318332721,3.610379138155092,95.72643790150627
Caatinga,GroupKFold,EV,263.8146911112908,33.88262469642874,6.8147787797972725,1.1349955578190725,80.40888934450064,2.5463883402087606,93.80583783459174
Caatinga,GroupKFold,PRE,7.881052983383343,4.135214736675065,1.484111318001606,0.1704884681307292,2.3721752594838157,1.2249164696321113,93.80583783459174
Caatinga,GroupKFold,TST,12.034750486916996,4.025317141104009,1.745601957987145,0.2781593752736282,3.712783595604093,1.2224303943190606,93.80583783459174
Caatinga,GroupKFold,SAZsin,15.215803381585767,4.7174801299079245,1.9044215003967762,0.33916482575470547,4.561671849536831,0.9794262455478033,93.80583783459174
Caatinga,GroupKFold,SAZcos,29.771492421244307,7.659823798597739,2.484210979739129,0.48304516428380606,8.944479950874637,1.4904842856528557,93.80583783459174
Caatinga,TimeSeriesSplit,EV,210.44312499126767,71.58481028783547,5.127849573728985,1.4680410715629322,76.94704021441574,10.03600346750268,91.19643093133627
Caatinga,TimeSeriesSplit,PRE,9.906880835354338,6.789224395584713,1.417782862540782,0.15268076312411796,3.7814945700171214,2.312644831833363,91.19643093133627
Caatinga,TimeSeriesSplit,TST,22.553803335299044,18.507810392271335,1.8152409190676617,0.4346769817350646,11.386666396843669,13.396766456389315,91.19643093133627
Caatinga,TimeSeriesSplit,SAZsin,9.386003832073635,5.560715486549233,1.4689033372710902,0.323275611728691,3.174105393414422,1.4666745958086589,91.19643093133627
Caatinga,TimeSeriesSplit,SAZcos,13.979743422515417,9.079603399632722,1.6542236633809502,0.4796805149364471,4.710693425309053,2.34790250882657,91.19643093133627
