bioma,grau,esquema,r2_treino,r2_teste,gap_pp
Mata Atlântica,1,GroupKFold,66.80041904412805,65.45246836884634,1.3479506752817088
Mata Atlântica,1,TimeSeriesSplit,74.3722902009096,58.700811894902564,15.671478306007039
Mata Atlântica,2,GroupKFold,79.1057221554776,73.73055630495499,5.375165850522606
Mata Atlântica,2,TimeSeriesSplit,85.20271562473917,66.98267382236455,18.220041802374624
Mata Atlântica,3,GroupKFold,81.4741282242172,74.50857451797117,6.965553706246027
Mata Atlântica,3,TimeSeriesSplit,88.45569304735861,60.96894022293134,27.48675282442727
Mata Atlântica,4,GroupKFold,79.26125939975739,67.37981101619307,11.881448383564319
Mata Atlântica,4,TimeSeriesSplit,84.59964696355286,56.32480627337405,28.274840690178806
Mata Atlântica,5,GroupKFold,81.15820549193919,67.19174634961271,13.966459142326471
Mata Atlântica,5,TimeSeriesSplit,87.22013248449396,53.903476220928766,33.31665626356519
Cerrado,1,GroupKFold,91.34552943333203,89.99211432989611,1.3534151034359212
Cerrado,1,TimeSeriesSplit,91.16313097593489,88.46423654498666,2.6988944309482292
Cerrado,2,GroupKFold,97.26999489131504,96.38269029263267,0.8873045986823627
Cerrado,2,TimeSeriesSplit,97.4187192488462,95.72643790150627,1.6922813473399287
Cerrado,3,GroupKFold,97.42825695715135,96.16689146906887,1.2613654880824754
Cerrado,3,TimeSeriesSplit,97.72020234048283,93.67560203427769,4.04460030620514
Cerrado,4,GroupKFold,97.67188938314789,96.14412748740253,1.527761895745357
Cerrado,4,TimeSeriesSplit,98.29101235061283,93.38632494631099,4.904687404301839
Cerrado,5,GroupKFold,97.57810875606306,95.76574736922608,1.812361386836983
Cerrado,5,TimeSeriesSplit,97.78390687298409,92.2353635691801,5.548543303803996
Caatinga,1,GroupKFold,93.5010341498872,92.78059016065377,0.7204439892334307
Caatinga,1,TimeSeriesSplit,95.02631303166893,91.48547529375,3.5408377379189346
Caatinga,2,GroupKFold,95.22996884711945,93.80583783459174,1.4241310125277096
Caatinga,2,TimeSeriesSplit,96.23912450957802,91.19643093133627,5.042693578241753
Caatinga,3,GroupKFold,96.00578683152803,92.76127727381149,3.2445095577165404
Caatinga,3,TimeSeriesSplit,96.71041015071384,90.39631053200378,6.31409961871006
Caatinga,4,GroupKFold,95.13386362565942,91.32182185293848,3.8120417727209315
Caatinga,4,TimeSeriesSplit,95.62098954918201,86.99489860126121,8.626090947920801
Caatinga,5,GroupKFold,95.38413743087173,85.15530811768377,10.228829313187958
Caatinga,5,TimeSeriesSplit,95.51564603299825,86.66492799113279,8.850718041865463
